,orig_index,Comment,Tile,Trainer,geometry,group,subID
0,0,NaN,CN_50,Sean,"POLYGON ((519835.54784746654 4516699.658250164, 519836.0433379383 4516699.738233284, 519836.4287194164 4516699.151690404, 519836.2085014289 4516698.885080004, 519835.6029019634 4516698.671791684, 519835.24504773377 4516699.151690404, 519835.54784746654 4516699.658250164))",random,0
1,1,NaN,CN_50,Sean,"POLYGON ((519837.99777257704 4516708.403071284, 519838.6033720426 4516708.536376485, 519838.98875352065 4516707.816528404, 519838.90617177536 4516707.229985525, 519838.4106813036 4516707.043358245, 519838.05282707396 4516707.203324485, 519837.6949728443 4516707.736545284, 519837.99777257704 4516708.403071284))",random,1
2,2,NaN,CN_50,Sean,"POLYGON ((519828.0053813958 4516706.136882884, 519828.335708377 4516705.736967284, 519828.2255993833 4516705.310390645, 519827.7851634084 4516705.257068564, 519827.4823636756 4516705.523678965, 519827.5924726693 4516706.003577684, 519828.0053813958 4516706.136882884))",random,2
3,3,NaN,CN_50,Sean,"POLYGON ((519849.5299388208 4516703.545118426, 519850.2092685136 4516703.318596889, 519850.2941847252 4516702.52577151, 519850.09604689816 4516702.270934781, 519849.24688478216 4516702.327565165, 519848.9355253396 4516702.978814584, 519849.5299388208 4516703.545118426))",random,3
4,4,NaN,CN_50,Sean,"POLYGON ((519849.7280766479 4516697.938710387, 519850.2941847252 4516697.797134426, 519850.3224901291 4516697.202515392, 519850.09604689816 4516696.862733087, 519849.24688478216 4516696.806102701, 519849.0204415512 4516697.31577616, 519849.19027397444 4516697.8254496185, 519849.7280766479 4516697.938710387))",random,4
5,5,,CN_50,Sean,"POLYGON ((519842.23414802237 4516691.427967655, 519842.66835875384 4516691.196386358, 519842.83118777815 4516690.779540025, 519842.559806071 4516690.200586784, 519841.6642464373 4516690.316377432, 519841.2028975352 4516690.779540025, 519841.6099700959 4516691.358493266, 519842.23414802237 4516691.427967655))",random,5
6,6,,CN_50,Sean,"POLYGON ((519839.9816798529 4516687.88477382, 519840.71441046224 4516687.606876264, 519840.7686868037 4516686.912132375, 519840.1716470479 4516686.63423482, 519839.57460729213 4516686.981606764, 519839.57460729213 4516687.583718135, 519839.9816798529 4516687.88477382))",random,6
7,7,,CN_50,Sean,"POLYGON ((519850.6198427739 4516687.166871801, 519851.1354680175 4516686.819499857, 519850.8640863103 4516686.147914098, 519850.4027374081 4516685.96264906, 519849.9956648474 4516686.333179134, 519850.21277021314 4516687.097397412, 519850.6198427739 4516687.166871801))",random,7
8,8,,CN_50,Sean,"POLYGON ((519836.6979611962 4516690.779540031, 519837.2407246105 4516690.686907512, 519837.32213912264 4516690.0616380125, 519837.10503375693 4516689.714266067, 519836.4537176597 4516689.691107938, 519836.2637504647 4516689.945847364, 519836.236612294 4516690.409009957, 519836.6979611962 4516690.779540031))",random,8
9,9,,CN_50,Sean,"POLYGON ((519833.0614463201 4516692.562716013, 519833.4685188809 4516692.354292846, 519833.44138071017 4516691.867972124, 519833.0071699787 4516691.659548957, 519832.65437375935 4516691.729023346, 519832.51868290576 4516692.14586968, 519832.7086501008 4516692.446925364, 519833.0614463201 4516692.562716013))",random,9
10,10,,CN_50,Sean,"POLYGON ((519830.34762924846 4516690.270061179, 519830.8089781506 4516690.084796142, 519830.8361163213 4516689.52900103, 519830.4290437606 4516689.343735994, 519829.88628034625 4516689.343735994, 519829.8591421755 4516689.992163624, 519830.34762924846 4516690.270061179))",random,10
11,11,,CN_50,Sean,"POLYGON ((519827.5795358353 4516690.17742866, 519828.14943742036 4516689.969005493, 519828.2037137618 4516689.343735994, 519827.76950303034 4516689.0658384375, 519827.17246327456 4516689.227945345, 519827.0639105917 4516689.922689234, 519827.5795358353 4516690.17742866))",random,11
12,12,NaN,CN_44,Sean,"POLYGON ((519773.5665294817 4516708.447421152, 519773.85972821986 4516708.349688239, 519774.1040605017 4516707.94246777, 519774.03890522657 4516707.600402575, 519773.79457294475 4516707.5352473, 519773.32219719986 4516707.470092026, 519773.07786491804 4516707.7958684005, 519773.07786491804 4516708.056489501, 519773.24075310596 4516708.317110602, 519773.5665294817 4516708.447421152))",random,0
13,13,NaN,CN_44,Sean,"POLYGON ((519773.4272544252 4516700.519432471, 519773.73643091094 4516700.2816044055, 519773.7839965242 4516699.924862307, 519773.47482003836 4516699.734599854, 519773.1656435526 4516699.710817047, 519772.9753810998 4516699.805948273, 519772.9753810998 4516700.162690372, 519773.141860746 4516700.448084052, 519773.4272544252 4516700.519432471))",random,1
14,14,NaN,CN_44,Sean,"POLYGON ((519775.4012273728 4516698.973550042, 519775.686621052 4516698.640590751, 519775.71040385857 4516698.236283038, 519775.35366175964 4516698.117369005, 519774.97313685407 4516698.141151812, 519774.78287440125 4516698.4265454905, 519774.8304400145 4516698.688156364, 519775.02070246724 4516698.925984429, 519775.4012273728 4516698.973550042))",random,2
15,15,NaN,CN_44,Sean,"POLYGON ((519783.4635988095 4516710.48442844, 519783.84412371507 4516710.317948794, 519783.89168932824 4516709.794727049, 519783.63007845567 4516709.50933337, 519783.3684675831 4516709.50933337, 519783.1068567105 4516709.604464596, 519782.9641598709 4516710.103903535, 519783.03550829075 4516710.460645634, 519783.4635988095 4516710.48442844))",random,3
16,16,NaN,CN_44,Sean,"POLYGON ((519796.6183231783 4516705.688121146, 519797.06397121924 4516705.455177606, 519797.1531008274 4516704.678699141, 519796.66288798244 4516704.2904599095, 519796.2618047456 4516704.393990371, 519796.0835455292 4516705.066938373, 519796.1726751374 4516705.558708068, 519796.6183231783 4516705.688121146))",random,4
17,17,NaN,CN_44,Sean,"POLYGON ((519785.9227701967 4516695.982140345, 519786.3238534335 4516695.72331419, 519786.50211264985 4516694.92095311, 519786.1233118151 4516694.506831262, 519785.7222285783 4516694.377418185, 519785.16516852716 4516694.739774802, 519785.098321321 4516695.283309727, 519785.25429813535 4516695.878609883, 519785.9227701967 4516695.982140345))",random,5
18,18,,CN_44,Sean,"POLYGON ((519793.79993988026 4516693.2008295115, 519794.30299672997 4516692.975086399, 519794.1429331869 4516692.388154306, 519793.70847499854 4516692.320431373, 519793.2282843693 4516692.478451552, 519793.31974925107 4516693.133106577, 519793.79993988026 4516693.2008295115))",random,6
19,19,,CN_44,Sean,"POLYGON ((519790.7587325619 4516682.003971135, 519791.1245920889 4516681.642782155, 519791.03312720713 4516681.236444553, 519790.4386054757 4516681.010701441, 519790.1184783896 4516681.394464732, 519790.23280949175 4516681.981396824, 519790.7587325619 4516682.003971135))",random,7
20,20,,CN_12,Sean,"POLYGON ((520024.992001614 4517586.4083677055, 520025.5051882373 4517586.079087552, 520025.5051882373 4517585.4479672555, 520025.1345534538 4517585.00892705, 520024.45030462276 4517585.063807076, 520024.1081802072 4517585.420527243, 520024.13669057516 4517586.216287616, 520024.992001614 4517586.4083677055))",random,0
21,21,,CN_12,Sean,"POLYGON ((520025.61922970915 4517584.240606691, 520026.07539559656 4517584.103406626, 520026.3319889082 4517583.7466864595, 520026.1324163325 4517583.417406305, 520025.5907193412 4517583.143006177, 520025.3056156616 4517583.3350862665, 520025.1630638218 4517583.85644651, 520025.61922970915 4517584.240606691))",random,1
22,22,,CN_12,Sean,"POLYGON ((520029.09749460046 4517588.57612872, 520029.7532330636 4517588.548688708, 520030.0953574791 4517588.356608618, 520030.0953574791 4517587.862688387, 520029.7817434316 4517587.50596822, 520029.3540879121 4517587.533408232, 520028.92643239273 4517587.999888451, 520029.09749460046 4517588.57612872))",random,2
23,23,,CN_12,Sean,"POLYGON ((520047.99986855907 4517590.990849852, 520048.4275240785 4517590.716449723, 520048.5415655503 4517590.003009389, 520048.08539966296 4517589.673729234, 520047.62923377554 4517589.673729234, 520047.20157825615 4517590.085329427, 520047.4581715678 4517590.661569698, 520047.99986855907 4517590.990849852))",random,3
24,24,,CN_12,Sean,"POLYGON ((520047.1730678882 4517587.368768156, 520047.77178561536 4517587.149248052, 520047.8858270872 4517586.847407911, 520047.6577441435 4517586.35348768, 520047.20157825615 4517586.326047667, 520046.9449849445 4517586.819967899, 520047.1730678882 4517587.368768156))",random,4
25,25,,CN_12,Sean,"POLYGON ((520038.6769782356 4517574.8012422705, 520039.30420633074 4517574.718922232, 520039.2756959628 4517573.84084182, 520038.64846786764 4517573.484121654, 520037.9357086686 4517573.593881705, 520037.8786879327 4517574.581722168, 520038.6769782356 4517574.8012422705))",random,5
26,26,,CN_12,Sean,"POLYGON ((520024.96349124605 4517571.89260091, 520025.2485949257 4517571.727960832, 520025.47667786933 4517571.179160575, 520025.1630638218 4517570.657800331, 520024.4217942548 4517570.74012037, 520024.3362631509 4517571.151720562, 520024.47881499067 4517571.618200781, 520024.96349124605 4517571.89260091))",random,6
27,27,,CN_12,Sean,"POLYGON ((520020.43034274015 4517576.337882991, 520020.25928053237 4517575.789082734, 520019.77460427705 4517575.7616427215, 520019.46099022945 4517576.1732429145, 520019.831625013 4517576.722043171, 520020.43034274015 4517576.337882991))",random,7
28,28,,29-30_44,Sean,"POLYGON ((525324.3025938161 4516598.568187465, 525324.8628866905 4516598.370723136, 525324.9469306218 4516597.778330148, 525324.5827402533 4516597.55265663, 525324.1625205975 4516597.6372842, 525323.9664180913 4516598.116840427, 525324.3025938161 4516598.568187465))",random,0
29,29,,29-30_44,Sean,"POLYGON ((525329.7374346989 4516593.43411491, 525330.3257422171 4516593.37769653, 525330.5778740107 4516593.010977061, 525330.437800792 4516592.587839214, 525329.933537205 4516592.418584075, 525329.5693468365 4516592.926349493, 525329.7374346989 4516593.43411491))",random,1
30,30,,29-30_44,Sean,"POLYGON ((525324.2745791724 4516592.700675974, 525324.8628866905 4516592.616048404, 525325.1710477716 4516591.910818657, 525324.8348720468 4516591.572308379, 525324.0504620225 4516591.628726759, 525323.7703155853 4516592.136492176, 525323.8263448727 4516592.559630024, 525324.2745791724 4516592.700675974))",random,2
31,31,,CN_16,Sean,"POLYGON ((520084.1775366058 4517529.460653335, 520084.3439281731 4517528.762392582, 520083.9556811828 4517528.25212511, 520083.3455787694 4517528.413262206, 520083.09599141846 4517528.977242045, 520083.42877455306 4517529.621790432, 520084.1775366058 4517529.460653335))",random,0
32,32,,CN_16,Sean,"POLYGON ((520088.36505771586 4517519.953564628, 520088.7533047062 4517519.577578069, 520088.6146450668 4517519.067310596, 520087.9768107255 4517518.798748768, 520087.5885637352 4517518.986742048, 520087.56083180726 4517519.389584789, 520087.8104191582 4517519.846139897, 520088.36505771586 4517519.953564628))",random,1
33,33,,CN_16,Sean,"POLYGON ((520103.0075156369 4517531.555435593, 520103.5621541945 4517531.3405861305, 520103.53442226665 4517530.427475915, 520103.39576262725 4517529.944064626, 520102.9243198533 4517529.970920809, 520102.4528770793 4517530.266338819, 520102.42514515144 4517530.7766062915, 520102.64700057445 4517531.421154679, 520103.0075156369 4517531.555435593))",random,2
34,34,,CN_16,Sean,"POLYGON ((520103.8394734734 4517517.56336436, 520104.5050397425 4517517.348514897, 520104.3386481752 4517516.677110327, 520103.8949373291 4517516.193699038, 520103.1739072042 4517516.408548499, 520103.3402987715 4517517.241090166, 520103.8394734734 4517517.56336436))",random,3
